School,Conference,Coach, TotalPay , Bonus , BonusPaid , StadSize ,AssistantPay,Buyout
Temple,AAC,Geoff Collins,,,," 68,532 ",0,1476060
Tennessee,SEC,Jeremy Pruitt,," $1,200,000 ",," 102,455 ",0,918333
Texas,Big 12,Tom Herman," $5,500,000 "," $725,000 "," $75,000 "," 100,119 ",0,18650000
Texas A&M,SEC,Jimbo Fisher," $7,500,000 "," $1,350,000 ",," 102,733 ",0,192308
Texas Christian,Big 12,Gary Patterson," $4,840,717 ",,," 50,000 ",0,--
Texas State,Sun Belt,Everett Withers," $700,000 "," $70,833 ",," 30,000 ",0,--
Texas Tech,Big 12,Kliff Kingsbury," $3,703,975 "," $1,500,000 "," $25,000 "," 60,862 ",0,1583333
Toledo,MAC,Jason Candle," $1,125,000 "," $585,000 "," $210,000 "," 26,248 ",0,--
Troy,Sun Belt,Neal Brown," $810,000 "," $490,000 "," $100,000 "," 30,000 ",0,--
Tulane,AAC,Willie Fritz," $1,629,000 ",,," 30,000 ",0,11780000
Tulsa,AAC,Philip Montgomery," $1,518,177 ",,," 35,542 ",0,15416667
UCLA,Pac-12,Chip Kelly," $3,300,000 "," $1,085,000 ",," 92,542 ",0,68125000
Utah,Pac-12,Kyle Whittingham," $3,787,917 "," $935,000 "," $279,167 "," 45,017 ",0,--
Utah State,Mt. West,Matt Wells," $900,000 "," $765,000 "," $65,000 "," 25,513 ",0,773958
Vanderbilt,SEC,Derek Mason," $2,812,523 ",,," 40,350 ",0,4231250
Virginia,ACC,Bronco Mendenhall," $3,550,000 "," $2,165,000 "," $75,000 "," 61,500 ",0,2991667
Virginia Tech,ACC,Justin Fuente," $4,000,000 "," $435,000 "," $75,000 "," 66,233 ",0,3562500
Wake Forest,ACC,Dave Clawson," $1,831,580 ",,," 31,500 ",0,3558333
Washington,Pac-12,Chris Petersen," $4,377,500 "," $1,050,000 "," $300,000 "," 70,500 ",0,2911667
Washington State,Pac-12,Mike Leach," $3,500,000 "," $725,000 "," $75,000 "," 32,248 ",0,--
West Virginia,Big 12,Dana Holgorsen," $3,617,500 "," $1,000,000 "," $90,000 "," 60,000 ",0,--
Western Michigan,MAC,Tim Lester," $800,000 "," $346,500 "," $39,250 "," 30,200 ",0,9000000
Wisconsin,Big Ten,Paul Chryst," $3,750,000 ",," $290,000 "," 80,321 ",0,9250000
Wyoming,Mt. West,Craig Bohl," $1,412,000 "," $450,000 "," $236,000 "," 29,181 ",0,2122917
,,,,,,,0,--
,,,,,,,0,18193750
,,,,,,,0,15000000
,,,,,,,0,--
,,,,,,,0,26354166
,,,,,,,0,4900000
,,,,,,,0,7150000
,,,,,,,0,1200000
,,,,,,,0,800000
,,,,,,,0,6000000
,,,,,,,0,8016667
